N£mero £nico de colonia,Municipios en los que se encuentra,Nombre de la colonia,C¢digo postal,Superficie en kil¢metros cuadrados,Total general,"Agentes y representantes de artistas, deportistas y similares","Artistas, escritores y t‚cnicos independientes",Billares,Boliches,Campos de golf,Cantantes y grupos musicales del sector privado,Casas de juegos electr¢nicos,Centros de acondicionamiento f¡sico del sector privado,Centros de acondicionamiento f¡sico del sector p£blico,Clubes deportivos del sector privado,Clubes deportivos del sector p£blico,Clubes o ligas de aficionados,Compa¤¡as de danza del sector privado,Compa¤¡as de teatro del sector privado,Compa¤¡as de teatro del sector p£blico,Equipos deportivos profesionales,Grupos musicales del sector p£blico,"Grutas, parques naturales y otros sitios del patrimonio cultural de la naci¢n",Jardines bot nicos y zool¢gicos del sector privado,Jardines bot nicos y zool¢gicos del sector p£blico,Marinas tur¡sticas,Museos del sector privado,Museos del sector p£blico,Otras compa¤¡as y grupos de espect culos art¡sticos del sector privado,Otros juegos de azar,Otros servicios recreativos prestados por el sector privado,Otros servicios recreativos prestados por el sector p£blico,Parques acu ticos y balnearios del sector privado,Parques acu ticos y balnearios del sector p£blico,Parques de diversiones y tem ticos del sector privado,Parques de diversiones y tem ticos del sector p£blico,"Promotores de espect culos art¡sticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos","Promotores del sector privado de espect culos art¡sticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos","Promotores del sector p£blico de espect culos art¡sticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",Sitios hist¢ricos,"Venta de billetes de loter¡a, pron¢sticos deportivos y otros boletos de sorteo"
4073,"Tlajomulco de Z£¤iga,San Pedro Tlaquepaque",REAL DE SANTA ANITA,45645,18388.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4074,Zapotlanejo,EL PLAN,44300,216562.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4075,Zapotlanejo,FRACC RESIDENCIAL DEL PARQUE,45430,111275.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4076,Tlajomulco de Z£¤iga,VALLE DE LOS EMPERADORES,45660,93571.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4077,Zapopan,VALLE DEL SOL,45200,335691.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4078,Puerto Vallarta,AMPLIACION LOMA BONITA,48291,78488.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4079,San Mart¡n de Bola¤os,LINDAVISTA,46350,78450.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,San Mart¡n de Bola¤os,LA GARITA,46350,81980.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4081,San Mart¡n de Bola¤os,DEL CENTRO,46350,118624.46,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4082,San Mart¡n de Bola¤os,DEL CERRITO,46350,58360.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4083,San Mart¡n de Bola¤os,BLANCO,46350,119022.32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4084,San Mart¡n de Bola¤os,EMETERIO JIMENEZ,46350,83370.68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4085,San Mart¡n de Bola¤os,DEL CANTERO,46350,139513.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4086,San Mart¡n de Bola¤os,LINDAVISTA,46350,117406.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4087,San Mart¡n de Bola¤os,SAGRADO CORAZON,46350,31076.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4088,San Mart¡n de Bola¤os,SAN JOSE,46350,36440.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4089,San Mart¡n de Bola¤os,BARRIO GUADALUPANO,46350,153530.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4090,Ayutla,LOMA ALTA,49300,339194.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4091,Bola¤os,SAN JUAN,46130,121643.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4092,Bola¤os,LA GRANADA,46130,53864.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4093,Bola¤os,SANTO SANTIAGO,46130,20652.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4094,Bola¤os,SAN MARCOS,46130,24136.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4095,Bola¤os,SAN FELIPE,46130,16418.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4096,Bola¤os,SAN JOSE,46130,47445.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4097,Zapopan,JARDINES SAN FRANCISCO,45138,47871.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4098,Tonal ,EL DUQUE,45410,105141.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4099,Ocotl n,FLORESTA SAN ANDRES,47882,54598.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100,Zapopan,FUENTES NEXTIPAC,45100,22485.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,Huejuquilla el Alto,INDEPENDENCIA,46470,201188.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4102,Huejuquilla el Alto,CENTRO,46000,380544.51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4103,Huejuquilla el Alto,BELLA VISTA,46000,53049.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,Huejuquilla el Alto,CITLALLI,46000,179626.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4105,Huejuquilla el Alto,CENTRO,46000,132263.78,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,Huejuquilla el Alto,LAS HUERTAS,46000,24567.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4107,Huejuquilla el Alto,EL SERAFIN,46000,104012.84,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Huejuquilla el Alto,LA GRANJA,46470,593554.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4109,Huejuquilla el Alto,BICENTENARIO,46470,123287.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4110,Huejuquilla el Alto,CENTRO,46000,379019.08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,Huejuquilla el Alto,LOS PORTALES,46000,146599.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112,Huejuquilla el Alto,LAS PE¥ITAS,46000,114779.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,Huejuquilla el Alto,LOS SAUCES,46000,230557.44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,Huejuquilla el Alto,MOVIMIENTO CRISTERO,46000,167324.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,Huejuquilla el Alto,TEMACHACO,46000,664417.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4116,Huejuquilla el Alto,MONTE DE SION,46000,176966.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4117,Huejuquilla el Alto,NI¥OS HEROES,46000,28026.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4118,Huejuquilla el Alto,MOVIMIENTO CIUDADANO,46000,453197.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
